date,copies_per_mL
2020-03-09,29
2020-03-10,15
2020-03-11,65
2020-03-12,36
2020-03-14,27
2020-03-15,53
2020-03-16,23
2020-03-17,78
2020-03-18,45
2020-03-19,49
2020-03-23,380
2020-03-24,321
2020-03-25,228
2020-03-26,39
2020-03-27,299
2020-03-30,219
2020-04-01,475
2020-04-03,438
2020-04-07,562
2020-04-09,784
2020-04-14,702
2020-04-16,321
2020-04-17,360
2020-04-22,541
2020-04-23,283
2020-04-28,293
2020-05-03,93
2020-05-05,94
2020-05-06,22
2020-05-21,42
2020-05-22,244
2020-05-23,69
2020-05-24,52
2020-05-25,42
2020-05-26,38
2020-05-27,81
2020-05-28,35
2020-05-29,49
2020-05-31,37
2020-06-01,60
2020-06-02,95
2020-06-03,40
2020-06-04,32
2020-06-05,45
2020-06-06,46
2020-06-07,27
2020-06-08,19
2020-06-09,167
2020-06-10,68
2020-06-11,134
2020-06-12,78
2020-06-13,180
2020-06-15,141
2020-06-16,118
2020-06-17,13
2020-06-18,21
2020-06-19,37
2020-06-20,25
2020-06-21,26
2020-06-23,22
2020-06-24,10
2020-06-25,16
2020-06-26,11
2020-06-27,15
2020-06-28,19
2020-06-29,15
2020-06-30,22
2020-07-01,27
2020-07-02,29
2020-07-03,43
2020-07-04,15
2020-07-05,13
2020-07-06,34
2020-07-07,37
2020-07-08,30
2020-07-09,21
2020-07-10,36
2020-07-11,21
2020-07-12,46
2020-07-13,32
2020-07-14,32
2020-07-15,30
2020-07-16,25
2020-07-17,43
2020-07-18,26
2020-07-19,14
2020-07-20,20
2020-07-21,17
2020-07-22,28
2020-07-23,23
2020-07-24,57
2020-07-25,41
2020-07-26,33
2020-07-27,31
2020-07-29,24
2020-07-31,81
2020-08-03,109
2020-08-04,47
2020-08-05,43
2020-08-06,48
2020-08-07,41
2020-08-10,62
2020-08-12,57
2020-08-14,45
2020-08-17,44
2020-08-19,87
2020-08-21,60
2020-08-24,38
2020-08-26,48
2020-08-28,60
2020-08-31,61
2020-09-02,144
2020-09-04,138
2020-09-07,59
2020-09-09,46
2020-09-10,59
2020-09-11,46
2020-09-12,51
2020-09-13,44
2020-09-14,49
2020-09-15,45
2020-09-16,48
2020-09-17,54
2020-09-18,75
2020-09-19,31
2020-09-20,32
2020-09-21,24
2020-09-22,44
2020-09-23,41
2020-09-24,31
2020-09-25,34
2020-09-28,43
2020-09-30,21
2020-10-02,34
2020-10-05,38
2020-10-07,70
2020-10-09,56
2020-10-12,52
2020-10-14,71
2020-10-16,101
2020-10-18,263
2020-10-19,116
2020-10-20,130
2020-10-21,95
2020-10-22,131
2020-10-23,103
2020-10-24,132
2020-10-25,126
2020-10-26,120
2020-10-27,129
2020-10-28,190
2020-10-29,97
2020-10-30,201
2020-10-31,148
2020-11-01,139
2020-11-02,186
2020-11-03,317
2020-11-04,183
2020-11-05,354
2020-11-06,207
2020-11-07,221
2020-11-08,322
2020-11-09,226
2020-11-10,339
